Title,Authors,Year,Journal,Citations,URL
Artificial intelligence: A powerful paradigm for scientific research,"['Y Xu', 'X Liu', 'X Cao', 'C Huang', 'E Liu', 'S Qian', 'X Liu']",2021,N/A,943,https://www.cell.com/article/S2666-6758(21)00104-1/fulltext
An introduction to artificial intelligence,['J Finlay'],2020,N/A,118,N/A
Fundamentals of the new artificial intelligence,['T Munakata'],1998,N/A,342,N/A
Artificial intelligence: theory and practice,"['T Dean', 'J Allen', 'Y Aloimonos']",1995,N/A,326,N/A
Artificial intelligence in the 21st century,"['J Liu', 'X Kong', 'F Xia', 'X Bai', 'L Wang', 'Q Qing', 'I Lee']",2018,N/A,273,https://ieeexplore.ieee.org/iel7/6287639/6514899/08325446.pdf
Artificial intelligence and sustainable development,"['MA Goralski', 'TK Tan']",2020,N/A,706,N/A
Marketing and artificial intelligence.,"['K Jarek', 'G Mazurek']",2019,N/A,331,http://cebr.vse.cz/pdfs/cbr/2019/02/03.pdf
Artificial intelligence for business,['R Akerkar'],2019,N/A,301,N/A
Advantages and limitations of artificial intelligence,"['M Chowdhury', 'AW Sadek']",2012,N/A,197,https://onlinepubs.trb.org/onlinepubs/circulars/ec168.pdf#page=14
A Review of Artificial Intelligence (AI) in Education from 2010 to 2020,"['X Zhai', 'X Chu', 'CS Chai', 'MSY Jong', 'A Istenic']",2021,N/A,734,https://onlinelibrary.wiley.com/doi/full/10.1155/2021/8812542
Artificial intelligence in engineering,"['DT Pham', 'PTN Pham']",1999,N/A,245,N/A
History of artificial intelligence.,"['P McCorduck', 'M Minsky', 'OG Selfridge', 'HA Simon']",1977,N/A,116,https://www.ijcai.org/Proceedings/77-2/Papers/083.pdf
The essence of artificial intelligence,['A Cawsey'],1997,N/A,215,N/A
AI: the tumultuous history of the search for artificial intelligence,['D Crevier'],1993,N/A,1415,N/A
The handbook of artificial intelligence,"['EA Feigenbaum', 'A Barr', 'PR Cohen']",1981,N/A,161,N/A
"General, academic, and artificial intelligence",['U Neisser'],1976,N/A,454,N/A
Advanced artificial intelligence,['Z Shi'],2019,N/A,296,N/A
Artificial intelligence in civil engineering,"['P Lu', 'S Chen', 'Y Zheng']",2012,N/A,288,https://onlinelibrary.wiley.com/doi/full/10.1155/2012/145974
The practical implementation of artificial intelligence technologies in medicine,"['J He', 'SL Baxter', 'J Xu', 'J Xu', 'X Zhou', 'K Zhang']",2019,N/A,1912,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6995276/
AI: artificial intelligence,['S Spielberg'],2001,N/A,167,N/A
Machine learning: An artificial intelligence approach,"['RS Michalski', 'JG Carbonell', 'TM Mitchell']",2013,N/A,3330,N/A
Artificial intelligence: An introduction,['A Garnham'],2017,N/A,123,N/A
Artificial intelligence,['N Graham'],1979,N/A,68,N/A
